record_id,date,storage_gb,allocated_cost,actual_used_cost,service_clean,region_clean,status_clean,waste_cost,waste_percent,cpu_clean,,
1,01-01-2025,120,500,210,EC2,us-east,Idle,290,58%,23,,
2,01-01-2025,450,700,690,S3,us-west,Active,10,1%,78,,
3,02-01-2025,90,500,120,EC2,us-east,Idle,380,76%,12,,
4,02-01-2025,300,600,580,RDS,eu-central,Active,20,3%,65,,
5,03-01-2025,20,200,50,LAMBDA,asia-south,Idle,150,75%,5,,
6,03-01-2025,400,700,650,S3,us-west,Active,50,7%,47.11111111,,
7,04-01-2025,150,500,300,EC2,us-east,Active,200,40%,33,,
8,04-01-2025,200,600,150,RDS,eu-central,Idle,450,75%,18,,
9,05-01-2025,250,500,480,EC2,us-east,Active,20,4%,90,,
10,05-01-2025,500,700,400,S3,us-west,Active,300,43%,45,,
11,06-01-2025,80,500,60,EC2,us-east,Idle,440,88%,8,,
12,06-01-2025,350,600,590,RDS,asia-south,Active,10,2%,72,,
13,07-01-2025,15,200,40,LAMBDA,us-west,Idle,160,80%,3,,
14,07-01-2025,520,700,680,S3,us-west,Active,20,3%,88,,
15,08-01-2025,140,500,260,EC2,us-east,Active,240,48%,25,,
16,08-01-2025,280,600,400,RDS,eu-central,Idle,200,33%,47.11111111,,
17,09-01-2025,25,200,55,LAMBDA,asia-south,Idle,145,73%,6,,
18,09-01-2025,550,700,700,S3,us-west,Active,0,0%,92,,
19,10-01-2025,100,500,150,EC2,us-east,Idle,350,70%,15,,
20,10-01-2025,310,600,570,RDS,eu-central,Active,30,5%,60,,
21,11-01-2025,160,500,280,EC2,us-east,Active,220,44%,30,,
22,11-01-2025,430,700,620,S3,us-west,Active,80,11%,70,,
23,12-01-2025,95,500,100,EC2,us-east,Idle,400,80%,10,,
24,12-01-2025,290,600,500,RDS,eu-central,Active,100,17%,55,,
25,13-01-2025,18,200,45,LAMBDA,asia-south,Idle,155,78%,4,,
26,13-01-2025,480,700,650,S3,us-west,Active,50,7%,80,,
27,14-01-2025,170,500,320,EC2,us-east,Active,180,36%,35,,
28,14-01-2025,210,600,160,RDS,eu-central,Idle,440,73%,20,,
29,15-01-2025,260,500,470,EC2,us-east,Active,30,6%,85,,
30,15-01-2025,510,700,420,S3,us-west,Active,280,40%,50,,
31,16-01-2025,85,500,70,EC2,us-east,Idle,430,86%,9,,
32,16-01-2025,360,600,595,RDS,asia-south,Active,5,1%,75,,
33,17-01-2025,12,200,35,LAMBDA,us-west,Idle,165,83%,2,,
34,17-01-2025,530,700,690,S3,us-west,Active,10,1%,90,,
35,18-01-2025,145,500,270,EC2,us-east,Active,230,46%,28,,
36,18-01-2025,275,600,390,RDS,eu-central,Idle,210,35%,47.11111111,,
37,19-01-2025,28,200,60,LAMBDA,asia-south,Idle,140,70%,7,,
38,19-01-2025,560,700,700,S3,us-west,Active,0,0%,93,,
39,20-01-2025,105,500,160,EC2,us-east,Idle,340,68%,14,,
40,20-01-2025,315,600,575,RDS,eu-central,Active,25,4%,62,,
41,21-01-2025,165,500,285,EC2,us-east,Active,215,43%,32,,
42,21-01-2025,440,700,630,S3,us-west,Active,70,10%,72,,
43,22-01-2025,98,500,110,EC2,us-east,Idle,390,78%,11,,
44,22-01-2025,295,600,505,RDS,eu-central,Active,95,16%,58,,
45,23-01-2025,20,200,50,LAMBDA,asia-south,Idle,150,75%,5,,
46,23-01-2025,485,700,655,S3,us-west,Active,45,6%,82,,
47,24-01-2025,175,500,330,EC2,us-east,Active,170,34%,37,,
48,24-01-2025,215,600,170,RDS,eu-central,Idle,430,72%,22,,
49,25-01-2025,265,500,475,EC2,us-east,Active,25,5%,88,,
50,25-01-2025,515,700,430,S3,us-west,Active,270,39%,53,,
51,26-01-2025,90,500,95,EC2,us-east,Idle,405,81%,10,,
52,26-01-2025,370,600,598,RDS,asia-south,Active,2,0%,78,,
53,27-01-2025,14,200,38,LAMBDA,us-west,Idle,162,81%,3,,
54,27-01-2025,535,700,695,S3,us-west,Active,5,1%,91,,
55,28-01-2025,148,500,275,EC2,us-east,Active,225,45%,29,,
56,28-01-2025,278,600,395,RDS,eu-central,Idle,205,34%,47.11111111,,
57,29-01-2025,26,200,58,LAMBDA,asia-south,Idle,142,71%,6,,
58,29-01-2025,565,700,700,S3,us-west,Active,0,0%,94,,
59,30-01-2025,108,500,170,EC2,us-east,Idle,330,66%,16,,
60,30-01-2025,318,600,578,RDS,eu-central,Active,22,4%,64,,
61,31-01-2025,168,500,290,EC2,us-east,Active,210,42%,34,,
62,31-01-2025,445,700,635,S3,us-west,Active,65,9%,74,,
63,01-02-2025,100,500,115,EC2,us-east,Idle,385,77%,12,,
64,01-02-2025,300,600,510,RDS,eu-central,Active,90,15%,59,,
65,02-02-2025,22,200,52,LAMBDA,asia-south,Idle,148,74%,5,,
66,02-02-2025,490,700,660,S3,us-west,Active,40,6%,83,,
67,03-02-2025,178,500,335,EC2,us-east,Active,165,33%,38,,
68,03-02-2025,220,600,175,RDS,eu-central,Idle,425,71%,23,,
69,04-02-2025,270,500,478,EC2,us-east,Active,22,4%,89,,
70,04-02-2025,520,700,435,S3,us-west,Active,265,38%,55,,
71,05-02-2025,95,500,105,EC2,us-east,Idle,395,79%,11,,
72,05-02-2025,375,600,600,RDS,asia-south,Active,0,0%,80,,
73,06-02-2025,16,200,42,LAMBDA,us-west,Idle,158,79%,4,,
74,06-02-2025,540,700,698,S3,us-west,Active,2,0%,92,,
75,07-02-2025,160,500,280,EC2,us-east,Active,220,44%,31,,
76,07-02-2025,282,600,398,RDS,eu-central,Idle,202,34%,47.11111111,,
77,08-02-2025,27,200,60,LAMBDA,asia-south,Idle,140,70%,7,,
78,08-02-2025,570,700,700,S3,us-west,Active,0,0%,95,,
79,09-02-2025,110,500,175,EC2,us-east,Idle,325,65%,17,,
80,09-02-2025,320,600,580,RDS,eu-central,Active,20,3%,66,,
81,10-02-2025,170,500,295,EC2,us-east,Active,205,41%,35,,
82,10-02-2025,450,700,640,S3,us-west,Active,60,9%,75,,
83,11-02-2025,102,500,120,EC2,us-east,Idle,380,76%,13,,
84,11-02-2025,305,600,515,RDS,eu-central,Active,85,14%,60,,
85,12-02-2025,23,200,53,LAMBDA,asia-south,Idle,147,74%,5,,
86,12-02-2025,495,700,665,S3,us-west,Active,35,5%,84,,
87,13-02-2025,180,500,340,EC2,us-east,Active,160,32%,39,,
88,13-02-2025,225,600,180,RDS,eu-central,Idle,420,70%,24,,
89,14-02-2025,275,500,480,EC2,us-east,Active,20,4%,90,,
90,14-02-2025,525,700,440,S3,us-west,Active,260,37%,57,,
91,15-02-2025,97,500,110,EC2,us-east,Idle,390,78%,12,,
92,15-02-2025,380,600,600,RDS,asia-south,Active,0,0%,82,,
93,16-02-2025,15,200,40,LAMBDA,us-west,Idle,160,80%,3,,
94,16-02-2025,545,700,699,S3,us-west,Active,1,0%,93,,
95,17-02-2025,165,500,285,EC2,us-east,Active,215,43%,33,,
96,17-02-2025,285,600,400,RDS,eu-central,Idle,200,33%,47.11111111,,
97,18-02-2025,26,200,58,LAMBDA,asia-south,Idle,142,71%,6,,
98,18-02-2025,575,700,700,S3,us-west,Active,0,0%,96,,
99,19-02-2025,112,500,180,EC2,us-east,Idle,320,64%,18,,
100,19-02-2025,322,600,582,RDS,eu-central,Active,18,3%,68,,
101,20-02-2025,172,500,300,EC2,us-east,Active,200,40%,36,,
102,20-02-2025,455,700,645,S3,us-west,Active,55,8%,76,,
103,21-02-2025,104,500,125,EC2,us-east,Idle,375,75%,14,,
104,21-02-2025,308,600,518,RDS,eu-central,Active,82,14%,61,,
105,22-02-2025,24,200,54,LAMBDA,asia-south,Idle,146,73%,5,,
106,22-02-2025,498,700,668,S3,us-west,Active,32,5%,85,,
107,23-02-2025,182,500,345,EC2,us-east,Active,155,31%,40,,
108,23-02-2025,230,600,185,RDS,eu-central,Idle,415,69%,25,,
109,24-02-2025,278,500,482,EC2,us-east,Active,18,4%,91,,
110,24-02-2025,528,700,445,S3,us-west,Active,255,36%,58,,
111,25-02-2025,99,500,115,EC2,us-east,Idle,385,77%,13,,
112,25-02-2025,385,600,600,RDS,asia-south,Active,0,0%,84,,
113,26-02-2025,17,200,43,LAMBDA,us-west,Idle,157,79%,4,,
114,26-02-2025,548,700,699,S3,us-west,Active,1,0%,94,,
115,27-02-2025,168,500,290,EC2,us-east,Active,210,42%,34,,
116,27-02-2025,288,600,402,RDS,eu-central,Idle,198,33%,47.11111111,,
117,28-02-2025,28,200,60,LAMBDA,asia-south,Idle,140,70%,7,,
118,28-02-2025,578,700,700,S3,us-west,Active,0,0%,97,,
119,01-03-2025,115,500,185,EC2,us-east,Idle,315,63%,19,,
120,01-03-2025,325,600,585,RDS,eu-central,Active,15,3%,70,,
121,02-03-2025,175,500,305,EC2,us-east,Active,195,39%,37,,
122,02-03-2025,460,700,650,S3,us-west,Active,50,7%,77,,
123,03-03-2025,106,500,130,EC2,us-east,Idle,370,74%,15,,
124,03-03-2025,310,600,520,RDS,eu-central,Active,80,13%,62,,
125,04-03-2025,25,200,55,LAMBDA,asia-south,Idle,145,73%,5,,
126,04-03-2025,500,700,670,S3,us-west,Active,30,4%,86,,
127,05-03-2025,185,500,350,EC2,us-east,Active,150,30%,41,,
128,05-03-2025,235,600,190,RDS,eu-central,Idle,410,68%,26,,
129,06-03-2025,280,500,485,EC2,us-east,Active,15,3%,92,,
130,06-03-2025,530,700,450,S3,us-west,Active,250,36%,59,,
131,07-03-2025,101,500,120,EC2,us-east,Idle,380,76%,14,,
132,07-03-2025,390,600,600,RDS,asia-south,Active,0,0%,85,,
133,08-03-2025,16,200,41,LAMBDA,us-west,Idle,159,80%,3,,
134,08-03-2025,550,700,699,S3,us-west,Active,1,0%,95,,
135,09-03-2025,170,500,295,EC2,us-east,Active,205,41%,35,,
136,09-03-2025,290,600,405,RDS,eu-central,Idle,195,33%,47.11111111,,
137,10-03-2025,27,200,58,LAMBDA,asia-south,Idle,142,71%,6,,
138,10-03-2025,580,700,700,S3,us-west,Active,0,0%,98,,
139,11-03-2025,118,500,190,EC2,us-east,Idle,310,62%,20,,
140,11-03-2025,328,600,588,RDS,eu-central,Active,12,2%,72,,
141,12-03-2025,178,500,310,EC2,us-east,Active,190,38%,38,,
142,12-03-2025,465,700,655,S3,us-west,Active,45,6%,78,,
143,13-03-2025,108,500,135,EC2,us-east,Idle,365,73%,16,,
144,13-03-2025,312,600,525,RDS,eu-central,Active,75,13%,63,,
145,14-03-2025,26,200,56,LAMBDA,asia-south,Idle,144,72%,5,,
146,14-03-2025,505,700,675,S3,us-west,Active,25,4%,87,,
147,15-03-2025,188,500,355,EC2,us-east,Active,145,29%,42,,
148,15-03-2025,238,600,195,RDS,eu-central,Idle,405,68%,27,,
149,16-03-2025,282,500,488,EC2,us-east,Active,12,2%,93,,
150,16-03-2025,535,700,455,S3,us-west,Active,245,35%,60,,
151,17-03-2025,104,500,125,EC2,us-east,Idle,375,75%,15,,
152,17-03-2025,395,600,600,RDS,asia-south,Active,0,0%,86,,
153,18-03-2025,18,200,44,LAMBDA,us-west,Idle,156,78%,4,,
154,18-03-2025,555,700,699,S3,us-west,Active,1,0%,96,,
155,19-03-2025,172,500,300,EC2,us-east,Active,200,40%,36,,
156,19-03-2025,292,600,408,RDS,eu-central,Idle,192,32%,47.11111111,,
157,20-03-2025,29,200,60,LAMBDA,asia-south,Idle,140,70%,7,,
158,20-03-2025,585,700,700,S3,us-west,Active,0,0%,99,,
